export_tag,mean_rating,sd_rating,n
hs1_libre_destinee,6.428571428571429,0.6341264874742277,28
hs2_etkiss_honey,6.321428571428571,1.1564175661505613,28
hs3_sipassion_idole,5.035714285714286,0.8811668550592597,28
hs4_burbher_scand,4.392857142857143,1.4230714230607946,28
hs5_idole_iamideal,6.535714285714286,0.9993384054849735,28
hs6_queenlife_omerta,6.5,0.6938886664887111,28
ms1_paradoxe_flower,4.428571428571429,1.2301331282538137,28
ms2_1mil_lemale,5.107142857142857,1.1655323283657164,28
ms3_fame_sauvage,4.428571428571429,1.4511444124621458,28
ms4_poudree_shewood,2.892857142857143,1.4230714230607946,28
ms5_sauvage_terre,2.642857142857143,1.311326320782405,28
ms6_vivala_lovely,4.642857142857143,0.7310208850583781,28
rd1_randompair1,3.6785714285714284,1.7438478405541267,28
rd2_randompair2,2.5,1.7105338131489614,28
rd3_randompair3,2.5714285714285716,1.8344152651674497,28
rd4_randompair4,1.7857142857142858,1.474653577828764,28
rd5_randompair5,3.107142857142857,1.6852142563920736,28
rd6_randompair6,2.5714285714285716,1.5257923607235448,28
