export_tag	perfume_1	perfume_2	category	block	embedding_minilm	note	tfidf	final_score
hs1_libre_destinee	Libre Yves Saint Laurent for women	Destinée La Rive for women and men	high	1	0.589542	0.8181818181818182	0.21737099509749253	0.541698261654271
ms1_paradoxe_flower	Prada Paradoxe Prada for women	Flower by Kenzo Eau de Vie Kenzo for women	medium	1	0.45332918	0.3125	0.05847547704499563	0.2747682175852246
rd1_randompair1	Crazy Rich Novellista for women and men	Chloé Rose Naturelle Intense Chloé for women	low/random	1	0.4413488	0.07142857142857142	0.04974765933739022	0.18750834062946606
hs2_etkiss_honey	Eternal Kiss La Rive for women	Honey Nuancielo for women	high	1	0.61758906	0.8333333333333334	0.46438908714035326	0.6384371589885128
ms2_1mil_lemale	1 Million Paco Rabanne for men	Le Male Jean Paul Gaultier for men	medium	1	0.5457575	0.15	0.07242840580046804	0.2560619594385248
rd2_randompair2	Invictus Victory Paco Rabanne for men	Hero Burberry for men	low/random	1	0.500237	0.0	0.0503737254140077	0.18353690449387824
ms3_fame_sauvage	Fame Paco Rabanne for women	Sauvage Parfum Dior for men	medium	2	0.5364904	0.4444444444444444	0.06494370972723541	0.3486261783118958
hs3_sipassion_idole	Sì Passione Intense Giorgio Armani for women	Idôle Lancôme for women	high	2	0.5848832	0.5	0.04211422934424713	0.37566581412915334
rd3_randompair3	J'adore Dior for women	Chloe Eau de Parfum Chloé for women	low/random	2	0.48839474	0.18181818181818182	0.05734162751539347	0.24251818219240925
ms4_poudree_shewood	Narciso Poudree Narciso Rodriguez for women	She Wood DSQUARED² for women	medium	2	0.56382406	0.3076923076923077	0.0843008106408068	0.3186057253040517
ms5_sauvage_terre	Sauvage Dior for men	Terre d'Hermès Hermès for men	medium	2	0.52236426	0.23529411764705882	0.0773766429196857	0.2783450064443063
hs4_burbher_scand	Burberry Her Elixir de Parfum Burberry for women	Scandal Le Parfum Jean Paul Gaultier for women	high	3	0.65217954	0.25	0.13976949655305465	0.3473163452522328
rd4_randompair4	Gucci Guilty Absolute pour Femme Gucci for women	Versace Pour Femme Dylan Purple Versace for women	low/random	3	0.49472016	0.05263157894736842	0.16701750641404517	0.23812308210752153
ms6_vivala_lovely	Viva la Juicy Juicy Couture for women	Lovely Lights Sarah Jessica Parker for women	medium	3	0.53160787	0.46153846153846156	0.09768433478339134	0.3636102208696948
hs6_queenlife_omerta	Queen of Life La Rive for women	Ma Merveilleuse Omerta for women	high	3	0.6098535	0.8181818181818182	0.21385154521149635	0.5472956231605238
rd5_randompair5	No Limit$ Gold Philipp Plein Parfums for men	Acqua di Giò Profondo Giorgio Armani for men	low/random	3	0.47057238	0.1111111111111111	0.07632408372288811	0.21933585901522815
rd6_randompair6	Audace Rochas for women	Jimmy Choo Jimmy Choo for women	low/random	3	0.48881224	0.058823529411764705	0.045183902789518476	0.19760655672642158
hs5_idole_iamideal	Idôle Lancôme for women	I Am Ideal La Rive for women	high	3	0.47303277	1.0	0.1274972426431348	0.5335100050613937
